Date,Price,Open,High,Low,Vol.,Change %,Year,Month,MA7,MA30,Daily_Return
2012-06-04,21785.37,22021.38,22078.98,21785.37,0.0,-0.81,2012,6,22088.20285714286,22269.992333333335,-0.8126983086313988
2012-06-05,21632.11,21785.85,21813.73,21632.11,0.0,-0.7,2012,6,22004.441428571427,22265.846,-0.7034996421910633
2012-06-06,21383.61,21632.59,21689.85,21383.61,0.0,-1.15,2012,6,21883.191428571427,22252.655333333332,-1.1487552531861178
2012-06-07,21114.69,21382.65,21408.52,21114.69,0.0,-1.26,2012,6,21731.00142857143,22226.631333333335,-1.2575986935788763
2012-06-08,20902.95,21114.29,21118.06,20902.95,0.0,-1.0,2012,6,21549.85714285714,22191.055999999997,-1.0028089448625432
2012-06-11,21183.34,20902.91,21123.29,20901.49,0.0,1.34,2012,6,21423.705714285716,22160.175333333333,1.3413896124709668
2012-06-12,21239.52,21125.87,21173.12,21056.09,0.0,0.27,2012,6,21320.227142857144,22131.167333333335,0.26520841378177007
2012-06-13,21298.63,21154.56,21210.58,21154.56,0.0,0.28,2012,6,21250.692857142858,22106.266333333333,0.2783019578596946
2012-06-14,21251.91,21209.77,21219.56,21144.81,0.0,-0.22,2012,6,21196.37857142857,22069.63,-0.21935683187135346
2012-06-15,21184.58,21251.91,21277.32,21166.08,0.0,-0.32,2012,6,21167.945714285714,22024.516666666666,-0.3168185824238723
2012-06-18,21028.39,21184.31,21222.55,21028.39,0.0,-0.74,2012,6,21155.617142857143,21969.93,-0.7372815510149455
2012-06-19,21082.11,21069.44,21110.69,20911.1,0.0,0.26,2012,6,21181.21142857143,21920.27433333333,0.25546416059432087
2012-06-20,21510.71,21044.7,21445.33,21041.99,0.0,2.03,2012,6,21227.97857142857,21882.072666666667,2.0330033379011736
2012-06-21,21348.11,21431.67,21513.15,21265.09,0.0,-0.76,2012,6,21243.49142857143,21842.552333333337,-0.7559025248352946
2012-06-22,21394.77,21343.49,21401.53,21339.97,0.0,0.22,2012,6,21257.225714285716,21805.33466666667,0.2185673579534697
2012-06-25,21357.22,21394.77,21395.53,21332.14,0.0,-0.18,2012,6,21272.27,21763.16066666667,-0.1755101830961503
2012-06-26,21347.17,21356.77,21398.44,21308.84,0.0,-0.05,2012,6,21295.49714285714,21722.98433333333,-0.04705668621666215
2012-06-27,21573.84,21347.17,21385.51,21347.17,0.0,1.06,2012,6,21373.41857142857,21694.698,1.0618269306891914
2012-06-28,21542.24,21570.6,21574.49,21512.28,0.0,-0.15,2012,6,21439.15142857143,21661.950333333334,-0.14647369221241213
2012-06-29,21599.57,21542.24,21608.56,21542.24,0.0,0.27,2012,6,21451.845714285715,21631.34733333333,0.26612831349013266
2012-07-02,21571.67,21600.55,21641.91,21529.69,0.0,-0.13,2012,7,21483.782857142858,21604.365999999998,-0.12916923809132008
2012-07-03,21690.54,21571.67,21691.09,21570.62,0.0,0.55,2012,7,21526.035714285714,21583.729999999996,0.551046812787348
2012-07-04,21930.9,21697.72,21933.57,21683.53,0.0,1.11,2012,7,21607.989999999998,21570.02233333333,1.1081328542304592
2012-07-05,22049.3,21932.76,22077.83,21930.9,0.0,0.54,2012,7,21708.294285714284,21561.17666666667,0.5398775244061849
2012-07-06,22110.91,22049.66,22163.22,22049.29,0.0,0.28,2012,7,21785.018571428573,21557.592333333334,0.27941930129300463
2012-07-09,22191.14,22110.91,22191.14,21690.54,0.0,0.36,2012,7,21877.71857142857,21556.218333333334,0.3628525465482868
2012-07-10,22120.47,22190.28,22195.02,22101.51,0.0,-0.32,2012,7,21952.132857142857,21554.233333333334,-0.31846043060428375
2012-07-11,22253.71,22141.16,22264.35,22120.47,0.0,0.6,2012,7,22049.567142857144,21556.991666666665,0.6023380154219105
2012-07-12,22492.96,22253.71,22495.0,22160.6,0.0,1.08,2012,7,22164.198571428573,21571.210333333333,1.075101634738651
2012-07-13,22741.06,22491.98,22746.6,22483.14,0.0,1.1,2012,7,22279.935714285715,21597.116666666665,1.1030117867990796
2012-07-16,22978.14,22741.06,22987.49,22737.9,0.0,1.04,2012,7,22412.62714285714,21636.875666666667,1.0425195659305109
2012-07-17,23039.27,22981.28,23046.73,22918.14,0.0,0.27,2012,7,22545.25,21683.781000000003,0.266035458048397
2012-07-18,23277.3,23049.42,23277.85,23038.04,0.0,1.03,2012,7,22700.415714285715,21746.904,1.0331490537677679
2012-07-19,23098.21,23277.3,23341.87,23034.35,0.0,-0.77,2012,7,22840.092857142856,21813.021333333334,-0.7693761733534421
2012-07-20,23095.31,23098.21,23166.65,22913.49,0.0,-0.01,2012,7,22960.321428571428,21886.1,-0.012555085437349067
2012-07-23,23381.05,23109.15,23401.28,23016.5,0.0,1.24,2012,7,23087.191428571427,21959.357000000004,1.23722089030196
2012-07-24,23169.24,23381.05,23412.31,23109.62,0.0,-0.91,2012,7,23148.359999999997,22023.681,-0.9059045680155364
2012-07-25,23129.82,23169.24,23218.41,23123.45,0.0,-0.17,2012,7,23170.028571428575,22084.720666666668,-0.1701393744464763
2012-07-26,23116.61,23122.92,23129.82,22893.55,0.0,-0.06,2012,7,23181.07714285714,22146.87733333333,-0.05711242024364349
